,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
985,lean,tower,pisa,famous,southward,tilt,danger,collaps,time,exist,construct,stori,bell,tower,begin,time,builder,reach,stori,foundat,begin,settl,uneven,soft,soil,unfinish,tower,lean,polit,unrest,construct,ceas,year,project,restart,soil,shift,make,tower,lean,construct,final,complet,late,subsequ,centuri,structur,continu,lean,greater,degre,inclin,degre,feet,vertic,effort,prevent,tower,fall,tri,english,soil,mechan,expert,final,succeed,make,vertic,stabl,discuss,lean,tower,pisa,author,primari,focus,construct,ceas,build,stori,precari,tilt,origin,stabil,time,period,construct,contribut,soil,mechan,expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,term,collect,unconsci,refer,concept,describ,psychologist,carl,jung,unconsci,imag,instinct,jung,mean,addit,individu,person,memori,peopl,common,collect,univers,memori,inherit,ancestor,collect,unconsci,reveal,pattern,call,archetyp,share,human,civil,histori,archetyp,intern,project,appli,sens,outsid,world,common,archetyp,includ,nurtur,love,mother,demand,reward,father,strong,capabl,hero,wise,helpless,infant,danger,unpredict,wild,fair,maiden,trickster,shadow,refer,evil,repress,part,person,person,fit,neat,archetyp,collect,unconsci,accord,jung,organ,inform,human,societ,think,behavior,discuss,collect,unconsci,author,primari,focus,role,archetyp,shape,think,sens,world,definit,archetyp,human,civil,share,idea,person,fit,neat,archetyp,way,archetyp,influenc,human,think,,,,,,,,,,,,,,,,,,,,,,
987,establish,unit,state,bullion,depositori,fort,knox,kentucki,store,larg,percentag,countri,gold,reserv,level,vault,depositori,heavili,fortifi,steel,concret,door,vault,weigh,ton,combin,open,vault,entrust,individu,person,outsid,guard,box,locat,corner,depositori,sentri,box,posit,entranc,gate,steel,fenc,line,site,perimet,updat,latest,protect,technolog,depositori,equip,emerg,power,plant,water,nearbi,unit,state,armi,base,provid,protect,oversight,strict,enforc,polici,visitor,allow,depositori,copi,magna,carta,declar,independ,constitut,store,accord,passag,gold,store,fort,knox,kentucki,seal,vault,singl,combin,entrust,individu,protect,heavili,fortifi,structur,strict,enforc,polici,worth,collect,gold,reserv,world,gold,reserv,weigh,ton,,,,,,,,,,,,,,,,,,,,,,,,,
988,have,grow,wood,area,vers,folk,remedi,remov,tick,skin,includ,cover,tick,nail,polish,petroleum,jelli,touch,healthcar,profession,recommend,practic,import,thing,remov,tick,quick,possibl,soon,tick,spot,grasp,fine,tip,tweezer,close,skin,surfac,possibl,gentl,pull,upward,twist,jerk,mouthpart,break,remain,skin,remov,clean,tweezer,come,leav,skin,heal,clean,bite,area,soap,wash,hand,procedur,lack,drama,folk,remedi,prevent,tick,bite,get,wors,follow,best,restat,author,main,point,tick,remov,healthcar,profession,recommend,nail,polish,quick,care,clean,best,method,tweezer,tool,work,folk,remedi,peopl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,decad,see,rise,graphic,novel,form,literatur,similar,comic,book,offer,like,tradit,novel,intric,narrat,complex,charact,eisner,contract,publish,wide,consid,graphic,novel,public,form,increas,popular,reader,recogn,graphic,novel,bona,fide,literari,artist,medium,rise,popular,similar,appeal,tradit,novel,replac,poetri,prefer,medium,high,literari,displac,tradit,novel,graphic,novel,captur,attent,reader,age,genr,subject,special,topic,cours,univers,english,program,countri,major,emphasi,passag,grow,popular,literari,accept,graphic,novel,evolut,literatur,poetri,novel,graphic,novel,intricaci,complex,graphic,novel,import,graphic,novel,eisner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,pygmi,nuthatch,tini,songbird,live,western,north,america,extrem,social,near,group,north,american,songbird,nest,helper,usual,male,previous,year,offspr,support,assist,parent,rais,young,helper,perform,vital,activ,protect,nest,feed,femal,brood,cold,winter,night,pygmi,nuthatch,group,close,caviti,warm,surviv,live,extend,famili,common,group,passag,author,main,purpos,like,highlight,social,lifestyl,pygmi,nuthatch,elimin,misconcept,pygmi,nuthatch,estim,pygmi,nuthatch,live,import,pygmi,nuthatch,nest,helper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,view,paint,work,eye,usual,surfac,canva,hit,point,object,figur,pictur,attent,draw,particular,part,imag,certain,figur,action,propel,narrat,captur,pictur,convey,certain,inform,viewer,certain,artist,want,sure,audienc,pay,attent,import,element,focal,point,imag,decor,background,element,lesson,student,learn,repetit,techniqu,artist,highlight,import,element,paint,composit,viewer,canva,highpoint,highpoint,passag,author,purpos,like,introduc,instruct,recommend,choic,argu,perspect,explain,techniqu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,peopl,think,choos,color,hous,paint,difficult,approach,select,paint,plan,consid,mood,like,room,exampl,want,kitchen,sociabl,live,feel,brighter,color,relax,quiet,feel,choos,neutral,color,test,color,choic,make,purchas,tape,paint,swatch,wall,room,look,differ,time,paint,look,natur,artifici,light,final,consid,differ,type,paint,finish,color,look,differ,matt,satin,glossi,finish,follow,plan,end,wall,look,great,base,passag,author,attitud,paint,select,amus,optimist,judgment,overwhelm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,think,stick,pay,list,onlin,price,flight,abl,cheaper,fare,discov,numer,way,better,price,search,nearbi,departur,arriv,airport,fare,lower,check,fare,day,prefer,date,frequent,reveal,lower,fare,check,differ,departur,time,mind,leav,earli,morn,save,money,strategi,book,flight,earli,possibl,book,earli,secur,best,price,final,call,travel,agent,locat,discount,tip,boost,chanc,find,lower,price,travel,passag,author,purpos,like,encourag,travel,promot,servic,travel,agent,teach,search,onlin,flight,reveal,way,lower,fare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,fruit,fli,small,insect,like,hover,unrefriger,produc,challeng,want,elimin,discard,attract,fruit,fli,remov,fruit,veget,countertop,refriger,fruit,fli,longer,issu,sure,garbag,can,recycl,bin,clean,assembl,trap,bait,slice,ripe,banana,teaspoon,appl,cider,vinegar,funnel,piec,paper,attach,small,point,downward,place,fruit,fli,releas,outsid,repeat,process,fli,go,accord,passag,follow,best,describ,step,follow,elimin,fruit,fli,remov,attract,food,clean,trash,bin,trap,releas,fli,trap,releas,fli,remov,attract,food,clean,trash,bin,remov,attract,food,trap,releas,fli,clean,trash,bin,clean,trash,bin,trap,releas,fli,remov,attract,food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,feder,protect,endang,speci,date,lacey,congress,pass,wildlif,respons,grow,public,concern,declin,passeng,pigeon,lacey,prohibit,interst,import,export,sell,acquisit,anim,kill,illeg,public,awar,environment,problem,polit,activ,depart,interior,form,committe,rare,endang,wildlif,speci,identifi,speci,immedi,danger,extinct,redbook,rare,endang,fish,wildlif,unit,state,publish,serv,offici,document,list,speci,feder,govern,consid,danger,extinct,year,redbook,list,publish,congress,pass,endang,speci,protect,piec,comprehens,endang,speci,legisl,base,passag,undertak,endang,speci,protect,respons,concern,declin,passeng,pigeon,creat,list,speci,consid,danger,extinct,respons,increas,interst,traffic,illeg,kill,anim,environment,awar,polit,activ,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,purchas,carpet,decid,type,fabric,residenti,carpet,type,fiber,common,wool,nylon,polyest,olefin,wool,feel,soft,luxuri,appear,usual,expens,fabric,nylon,expens,advantag,stain,resist,great,rang,color,option,polyest,usual,expens,nylon,wool,durabl,olefin,expens,fiber,indoor,outdoor,easi,clean,determin,best,carpet,option,particular,situat,consid,budget,traffic,wear,area,receiv,color,choic,accord,passag,expens,fabric,type,polyest,wool,olefin,nylon,wool,olefin,nylon,wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,follow,excerpt,pictur,dorian,gray,oscar,wild,horribl,unjust,cri,lord,henri,tilt,look,littl,cloud,like,ravel,skein,glossi,white,silk,drift,hollow,turquois,summer,horribl,unjust,great,differ,peopl,choos,friend,good,look,acquaint,good,charact,enemi,good,intellect,care,choic,enemi,fool,intellectu,power,consequ,appreci,vain,think,vain,author,describ,lord,henri,larg,term,opinion,wear,person,compani,keep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,consid,import,poem,twentieth,centuri,wast,land,eliot,depict,bleak,break,post,world,world,publish,wast,land,poem,deliber,irregular,form,includ,multipl,speaker,haphazard,partial,rhyme,scheme,short,section,tradit,structur,form,disori,effect,mean,reflect,europ,ravag,post,condit,describ,poem,heap,break,imag,european,cultur,great,glorious,decay,wither,european,poem,form,suggest,forc,live,wast,land,amid,remind,break,imag,great,time,macabr,somber,wast,land,accur,express,disillusion,world,violent,transit,function,bridg,nineteenth,centuri,tradit,poetri,twentieth,centuri,modern,discuss,eliot,wast,land,author,primari,focus,poem,signific,european,cultur,vari,structur,rhyme,scheme,imag,bleak,broken,form,relat,post,europ,,,,,,,,,,,,,,,,,,,,,,,,,
999,wetland,provid,ecolog,econom,social,benefit,habitat,fish,wildlif,varieti,plant,serv,nurseri,saltwat,freshwat,fish,shellfish,commerci,recreat,import,concern,substanti,loss,diminish,resourc,help,ensur,good,water,qualiti,local,communiti,provid,vital,habitat,divers,import,wildlif,speci,wetland,tip,point,great,stride,conserv,restor,wetland,lose,area,equal,half,size,rhode,island,year,passag,author,purpos,like,issu,warn,offer,opinion,initi,provid,instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,mother,young,boy,deal,food,stain,worst,youngest,carri,spaghetti,sauc,din,room,tabl,bowl,slip,hand,sauc,splash,brother,immedi,clean,spaghetti,sauc,possibl,cloth,sink,cool,water,turn,cloth,insid,water,rins,stain,run,water,cloth,push,stain,deeper,fabric,rub,laundri,deterg,stain,peopl,ammonia,hydrogen,peroxid,lift,stain,scrub,stain,deterg,follow,soak,launder,cloth,stain,remov,solut,minut,work,case,singl,wash,stain,go,author,like,write,passag,order,remedi,stain,remov,point,spaghetti,sauc,stubborn,stain,complain,difficulti,rais,children,persuad,peopl,avoid,ammonia,laundri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,peopl,know,amelia,earhart,famous,aviat,accomplish,writer,editor,author,book,flight,addit,earhart,write,aviat,articl,period,serv,aviat,editor,cosmopolitan,magazin,person,privat,paper,includ,poem,short,stori,submit,poem,poetri,magazin,alia,emil,hart,unfortun,magazin,editor,publish,poem,send,earhart,encourag,note,refer,poem,unusu,promis,urg,send,submiss,futur,year,later,issu,poem,courag,publish,survey,graphic,magazin,base,passag,follow,term,best,describ,author,attitud,amelia,earhart,envious,admir,content,empathet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,refriger,food,fresh,reduc,bacteri,growth,microorgan,spoil,food,grow,amaz,fast,set,refriger,degre,fahrenheit,cold,protect,food,refriger,build,thermomet,ensur,know,refriger,intern,temperatur,place,food,refriger,import,perish,egg,place,door,temperatur,door,item,tend,fluctuat,temperatur,item,keep,refriger,shelv,last,help,refriger,maintain,cool,open,necessari,refrain,keep,door,open,longer,second,accord,passag,refriger,dairi,product,like,spoil,place,refriger,shelv,refriger,build,thermomet,maintain,temperatur,degre,fahrenheit,refriger,door,open,second,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,activ,ingredi,mosquito,repel,deet,label,instruct,deet,consid,safe,appli,direct,human,skin,repel,picaridin,effect,keep,mosquito,away,peopl,prefer,deet,odor,lemon,eucalyptus,know,show,repel,mosquito,natur,occur,ingredi,peopl,feel,safer,last,regist,unit,state,year,europ,report,caus,health,problem,look,safe,avoid,mosquito,bite,effect,ingredi,look,choos,insect,repel,solut,accord,passag,insect,repel,ingredi,exist,natur,deet,picaridin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,peopl,hard,time,interview,peopl,interview,talk,rememb,past,interview,interview,appear,bore,speak,consequ,subsequ,interview,pay,attent,interview,bodi,languag,adjust,length,answer,accord,improv,respons,specif,ask,interview,question,want,leav,current,answer,honesti,littl,tact,eventu,learn,appropri,respons,focus,career,advanc,opportun,coupl,posit,refer,current,posit,learn,attent,develop,cover,letter,focus,craft,résumé,cover,letter,allow,express,person,paint,fuller,pictur,ideal,candid,year,interview,receiv,offer,select,posit,suit,best,passag,suggest,author,human,resourc,profession,look,competit,field,encourag,script,answer,interview,better,interviewe,learn,mistak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,need,financi,planner,step,best,locat,financi,planner,like,good,candid,suggest,famili,friend,look,member,nation,financi,organ,research,planner,credenti,qualif,licens,identifi,potenti,planner,schedul,meet,meet,planner,hesit,tough,question,need,feel,confid,financi,planner,experi,help,peopl,like,plan,goal,work,invest,final,sure,understand,planner,compens,commiss,invest,charg,fix,servic,take,time,follow,step,help,choos,right,financi,planner,need,base,passag,immedi,research,prospect,financi,planner,arrang,time,meet,difficult,question,verifi,credenti,learn,pay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,wish,type,quick,learn,take,littl,time,look,keyboard,type,common,practic,typist,guilti,habit,need,practic,blind,type,peopl,towel,hand,key,work,train,look,keyboard,measur,type,speed,usual,measur,word,minut,help,monitor,progress,better,typist,surpris,correct,postur,impact,type,speed,correct,postur,practic,sit,straight,feet,flat,floor,practic,practic,practic,practic,daili,possibl,follow,simpl,step,guarante,improv,type,speed,time,accord,passag,habit,slow,typist,want,type,quick,type,blind,look,key,type,incorrect,postur,type,constant,monitor,type,speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,peopl,salad,dress,reduc,sugar,preserv,diet,dress,simpl,recip,famili,decad,requir,seven,ingredi,sugar,dijon,mustard,oliv,appl,cider,vinegar,onion,powder,salt,pepper,combin,oliv,appl,cider,vinegar,mixtur,teaspoon,ingredi,whisk,scoop,teaspoon,tast,right,adjust,flavor,add,littl,appropri,ingredi,dri,thyme,basil,extra,flavor,tast,right,toss,green,creat,great,simpl,salad,delici,homemad,dress,base,passag,follow,option,ingredi,salad,dress,basil,green,oliv,onion,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,follow,excerpt,black,oxen,gertrud,atherton,day,spend,altogeth,sacr,wast,amus,futil,game,realiz,know,wonder,know,time,fell,love,promis,marri,sort,fever,pitch,work,play,writer,exercis,abnorm,faculti,sane,brain,pitch,normal,nerv,like,taut,wire,like,devil,case,imagin,writer,certain,condit,reveal,woman,passag,follow,phrase,simil,like,devil,sort,fever,pitch,nerv,like,taut,wire,brain,pitch,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,follow,excerpt,bessi,citi,joanna,mathew,make,excus,leav,parlor,upstair,till,reach,turn,door,studi,room,stand,ajar,pshaw,boy,hear,peep,harri,studi,usual,fashion,elbow,tabl,head,hand,finger,thrust,ear,shut,sound,attent,book,fred,go,room,stori,hear,come,headlong,noisi,fred,sure,notic,come,follow,exampl,onomatopoeia,pshaw,headlong,peep,stand,ajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,rock,climb,increas,popular,fit,activ,challeng,particip,muscular,strength,high,level,concentr,pull,oneself,sheer,rock,cliff,leav,room,distract,wander,mind,experi,rock,climber,risk,fall,present,safe,special,equip,rope,quickdraw,carabin,cam,devic,safeti,procedur,develop,prevent,fall,beginn,start,boulder,need,good,pair,hike,shoe,crash,cushion,readi,jump,rock,boulder,climber,stay,fair,close,grind,move,rock,horizont,boulder,involv,particip,reach,signific,height,develop,climber,strength,movement,finess,climb,want,search,indoor,climb,area,enrol,train,class,today,base,passag,disadvantag,boulder,restrict,climber,lower,height,suitabl,begin,climber,requir,special,tool,pose,risk,fall,signific,height,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,north,american,river,frequent,think,associ,southern,state,missouri,mississippi,river,river,begin,south,missouri,river,sourc,rocki,mountain,western,montana,mississippi,river,begin,flow,lake,itasca,northwestern,minnesota,river,missouri,longer,flow,mile,confluenc,mississippi,river,near,loui,missouri,mississippi,flow,southward,gulf,mexico,mississippi,river,longest,north,american,river,combin,missouri,river,repres,longest,river,north,america,worldwid,rank,fourth,longest,river,total,mile,base,passag,follow,statement,best,describ,missouri,river,begin,flow,western,montana,associ,mississippi,river,join,mississippi,river,lake,itasca,join,mississippi,largest,river,north,america,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,follow,excerpt,church,cooper,communiti,life,paul,vogt,writer,live,open,countri,year,go,mifflin,center,school,attend,wesley,chapel,church,schoolhous,church,locat,crossroad,institut,draw,constitu,area,squar,mile,school,somewhat,larger,area,church,brownstown,school,south,hendrickson,east,whetston,west,school,communiti,pleasant,grove,church,salem,brownstown,differ,territori,cover,church,area,coincid,school,area,bound,mifflin,center,school,territori,accord,passag,follow,area,like,overlap,mifflin,center,school,area,whetston,hendrickson,wesley,chapel,pleasant,grove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,pomegran,long,covet,nativ,fruit,middl,east,popular,unit,state,leatheri,skin,difficult,pomegran,nutriti,pack,antioxid,pomegran,great,sourc,potassium,vitamin,high,versatil,cook,seed,surround,rich,jelli,know,aril,add,salad,entre,extra,crunch,punch,color,aril,make,pomegran,juic,fruit,popular,applic,soup,stew,sauc,enhanc,pomegran,seed,sweet,tart,edg,savori,dish,addit,pomegran,long,shelf,life,long,month,keep,refriger,good,reason,stock,accord,passag,reason,peopl,dislik,pomegran,seed,tart,tast,leatheri,skin,short,shelf,life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,loui,braill,young,french,child,receiv,scholarship,attend,royal,institut,blind,youth,pari,guess,profound,impact,event,sight,impair,peopl,world,time,book,blind,larg,emboss,letter,read,blind,person,feel,shape,letter,read,difficult,slow,process,charl,barbier,soldier,visit,school,share,secret,militari,code,invent,rais,dot,paper,prove,difficult,militari,learn,code,difficult,braill,year,braill,simplifi,barbier,signific,perfect,easi,read,blind,peopl,today,accord,passag,rais,read,blind,peopl,advanc,soldier,origin,design,militari,increas,literaci,sight,impair,peopl,understand,sight,impair,peopl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,follow,excerpt,bird,swope,park,albert,shirl,differ,speci,bird,differ,feed,habit,insect,eater,seed,eater,food,water,grind,tree,bird,prey,bird,like,downi,woodpeck,nuthatch,creeper,chickade,titmous,insect,food,trunk,branch,tree,vireo,warbler,oriol,search,foliag,insect,food,bird,look,tree,shrub,meadowlark,towhe,grackl,robin,water,thrush,dickcissel,quail,type,bird,food,grind,food,concern,field,wood,accord,passag,follow,bird,find,food,foliag,branch,trunk,tree,quail,oriol,nuthatch,chickade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,follow,excerpt,clock,talk,freder,kellogg,examin,earli,chines,vase,fogg,museum,note,littl,crack,glaze,conclud,caus,antiqu,method,fire,potteri,result,actual,crack,know,crackl,glaze,purpos,vase,give,year,present,year,celebr,chines,spring,crackl,repres,break,river,lake,chang,hard,fast,winter,movement,spring,accord,passag,chines,vase,littl,crack,creat,result,repres,break,antiqu,method,fire,potteri,repres,hard,fast,winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,butter,ingredi,countless,food,recip,easi,requir,cream,water,begin,pour,cream,blender,blend,medium,speed,minut,whip,cream,continu,blend,start,see,pale,yellow,white,chunk,butter,swirl,liquid,buttermilk,turn,blender,butter,rise,contain,drain,buttermilk,press,possibl,cold,water,blend,thirti,second,call,wash,butter,skip,step,butter,rancid,day,drain,water,press,possibl,scoop,butter,dish,peopl,like,salt,option,store,refriger,follow,best,describ,order,make,butter,wash,butter,drain,water,blend,cream,drain,buttermilk,store,blend,cream,wash,butter,drain,water,drain,buttermilk,store,blend,cream,drain,buttermilk,wash,butter,drain,water,store,wash,butter,blend,cream,drain,buttermilk,drain,water,store,,,,,,,,,,,,,,,,,,,,,,,,
1018,follow,excerpt,pickl,melon,american,cookeri,amelia,simmon,green,melon,brine,strong,bear,pour,boil,melon,keep,brine,stand,day,slit,seed,scrape,insid,wash,clean,cold,water,cleav,garlic,littl,ginger,nutmeg,slice,littl,pepper,proport,melon,fill,mustard,seed,earthen,slit,upward,mustard,part,vinegar,cover,pour,scald,close,slop,base,passag,follow,best,describ,step,pickl,melon,seed,pour,brine,spice,mustard,seed,melon,pour,brine,melon,seed,spice,mustard,seed,seed,spice,mustard,seed,pour,brine,melon,pour,brine,seed,melon,spice,mustard,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,grand,canyon,receiv,million,visitor,year,earli,geolog,marvel,demonstr,power,grandeur,natur,carv,landscap,colorado,river,cours,million,year,extend,mile,state,arizona,widest,point,canyon,mile,deepest,dip,mile,topmost,edg,river,billion,year,geolog,histori,tower,wall,canyon,erod,today,continu,flow,colorado,rich,canyon,demonstr,varieti,habitat,rang,lush,green,montan,forest,scorch,desert,varieti,home,bird,speci,mammalian,reptilian,amphibian,speci,scientist,activ,studi,canyon,year,begin,john,strong,newberri,unravel,canyon,mysteri,accord,passag,mile,long,grand,canyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,follow,excerpt,fern,lover,companion,georg,henri,tilton,fern,leav,highest,order,cryptogam,like,flower,plant,reinforc,woodi,fiber,run,stem,keep,erect,permit,grace,curv,exquisit,symmetri,form,frequent,fine,border,rich,shade,green,combin,object,rare,beauti,uniqu,vernat,method,fruit,wonder,mysteri,reproduct,invest,mark,scientif,afford,stimulus,cultur,thought,mind,peculiar,enchant,charm,plant,allur,ardent,natur,lover,observ,haunt,habit,accord,passag,follow,characterist,evok,scientif,fern,fruit,method,fine,border,symmetr,form,rich,shade,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,follow,excerpt,stori,rose,lyda,farrington,kraus,see,phil,fidget,stand,foot,hand,pocket,jingl,thing,till,rememb,papa,like,take,hand,straighten,shake,coat,collar,place,clear,throat,effect,accident,knock,book,desk,papa,start,peer,near,sight,felix,say,take,book,phil,sigh,finger,page,book,mark,place,say,resign,sort,want,accord,passag,phil,catch,father,attent,jingl,articl,pocket,knock,book,desk,shake,coat,collar,clear,throat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,follow,excerpt,littl,girl,washington,amanda,dougla,year,chang,true,georgetown,attract,grow,faster,street,begin,clear,mudhol,fill,walk,lay,handsom,hous,erect,wife,secretari,state,charm,dolli,madison,heal,differ,madison,draw,room,favorit,resort,senat,minist,diplomat,ask,presid,white,hous,randolph,presid,daughter,visit,delight,lifelong,friend,bright,vivaci,sister,anna,payn,add,littl,zest,social,life,marriag,event,slowli,grow,citi,accord,passag,randolph,develop,last,friendship,anna,payn,presid,dolli,madison,presid,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,follow,excerpt,metamorphosi,franz,kafka,thing,want,peac,disturb,dress,breakfast,consid,awar,bring,thought,sensibl,conclus,lie,rememb,felt,slight,pain,caus,lie,awkward,turn,pure,imagin,wonder,imagin,slowli,resolv,today,slightest,doubt,chang,voic,sign,cold,occup,hazard,travel,salesmen,accord,passag,salesman,experi,slight,pain,possibl,result,cold,imagin,lie,awkward,occup,hazard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,follow,excerpt,peter,parley,stori,samuel,goodrich,antiqu,dilapid,hous,shingl,clapboard,bear,august,father,samuel,goodrich,minist,congreg,church,place,religi,societi,clergyman,town,elizur,goodrich,distinguish,minist,persuas,durham,connecticut,brother,emin,late,chauncey,goodrich,hartford,elizur,goodrich,haven,mother,daughter,john,physician,saybrook,figur,unworthili,annal,revolutionari,elder,brother,charl,goodrich,wide,know,numer,use,public,destin,cleric,profess,part,predilect,part,encourag,relat,accord,passag,know,deed,revolutionari,john,charl,samuel,chauncey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,child,labor,unit,state,widespread,econom,realiti,earli,centuri,look,expect,abolit,number,factori,multipli,child,workforc,grow,social,conscienc,begin,stir,child,labor,featur,factori,affect,children,earliest,concern,factori,children,grow,receiv,modest,educ,long,workday,workweek,leav,littl,time,studi,connecticut,enact,encourag,manufactur,provid,young,employe,lesson,read,write,arithmet,ineffect,massachusett,pass,countri,child,labor,legisl,requir,children,employ,manufactur,spend,month,year,school,base,passag,earliest,concern,child,labor,focus,ethic,moral,lack,school,extend,work,hour,unsaf,factori,condit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,follow,excerpt,time,trader,andr,norton,stranger,odd,dress,light,dress,judg,climat,frequent,snow,patch,bite,cold,strip,coars,cloth,extend,armpit,inch,knee,wind,bodi,pull,waist,belt,belt,ornat,cumbersom,wrap,small,chain,link,metal,plat,support,long,dagger,hang,straight,wear,round,blue,cloak,sweep,shoulder,free,bare,arm,fasten,larg,chin,footgear,extend,calv,anim,hide,bear,patch,shaggi,hair,face,beardless,shadowi,line,chin,suggest,shave,particular,conceal,dark,brown,hair,accord,passag,articl,cloth,anim,hide,belt,cloak,footgear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,follow,excerpt,prodig,villag,irv,bachel,matter,slight,import,orvill,gate,superintend,john,seaver,attorney,robert,brown,grocer,pendleton,ame,keep,book,stationeri,store,william,ferguson,clothier,darwin,sill,butcher,snodgrass,carpent,join,picnic,caravan,millionair,good,peopl,admit,truth,patterson,bing,hold,hollow,hand,outsid,famili,affect,outward,hard,nail,own,bank,control,credit,extravag,buyer,give,freeli,improv,villag,neighbor,citi,hazelmead,famili,court,circl,bingvill,conscious,unconsci,best,peopl,imit,be,author,want,feel,patterson,bing,envious,skeptic,ambival,apprehens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
