,0
580," TO8 B2000280 B
B2090580 B
0580.	In 1847, an 11-year-old boy living with his family on the banks of the Mississippi River quit school and got a job as a printer's apprentice at a local newspaper. His father had just died, and the boy, being one of seven children, felt eager for a little independence. He found he loved reading the news of the world while doing his work. Growing up on the American frontier, he loved listening to tall tales, observing life around him, and being an eyewitness to history. At 21, he got a job as a riverboat captain, and later worked as a silver prospector. Then he worked as a writer for a newspaper, the Territorial Enterprise, in Virginia City, Nevada. It was there he first used his pen name, Mark Twain -- a name that now comes to mind when we think of one of the greatest American storytellers.

The major emphasis of the passage is on Mark Twain's

A.	many observations.
B.	varied experiences.
C.	family tragedies.
D.	love of news.
"
581," TO8 B2000281 D
B2090581 D
0581.	The creation of the nuclear bomb is one of the most astonishing and fearsome developments in history. Stemming from decades-long investigations into the nature of radioactivity and the properties of irradiated materials, nuclear physicists finally developed two types of nuclear bombs. The first type is known today as a fission bomb, or atomic bomb. In the fission bomb, atoms are split apart and heat, light, and radiation are emitted. The second type of nuclear bomb created was the hydrogen bomb, or fusion bomb. In this type, particles are joined together, giving off energy. Both types represent the most powerful and destructive weapons on earth. At the present time, there are enough of these bombs stored in military arsenals to destroy all life on Earth many times over.

Which of the following best restates the author's main point?

A.	It took decades to develop a nuclear bomb.
B.	We have enough nuclear bombs to destroy all life.
C.	The two types of nuclear bombs are fission and fusion.
D.	Research in nuclear physics has yielded frightening results.
"
582," TO8 B3000282 D
B3090582 D
0582.	The following excerpt is from the essay ""I Talk of Dreams"" by W.D. Howells (1903).

It is mostly my own dreams I talk of, and that will somewhat excuse me for talking of dreams at all. Everyone knows how delightful the dreams are that one dreams one's self, and how insipid the dreams of others are. I had an illustration of the fact, not many evenings ago, when a company of us got telling dreams. I had by far the best dreams of any; to be quite frank, mine were the only dreams worth listening to; they were richly imaginative, delicately fantastic, exquisitely whimsical, and humorous in the last degree; and I wondered that when the rest could have listened to them they were always eager to cut in with some silly, senseless, tasteless thing that made me sorry and ashamed for them. I shall not be going too far if I say that it was on their part the grossest betrayal of vanity that I ever witnessed.

The author most likely wrote the passage in order to

A.	impartially demonstrate his superiority.
B.	candidly discuss the content of his dreams.
C.	justly discuss what irritates him about others.
D.	ironically show how he is vain like everyone else.
"
583," TO8 B3000283 B
B3090583 B
0583.	Last week I returned home from visiting my parents. They could not drive me the hour and a half to the nearest airport, so I hired a shuttle. I was the last person picked up by the shuttle, which was nearly full, and I sat directly behind the most talkative person I'd ever heard. Because I was so close, and he so loud, I could hear everything he said, most of which were opinions and attitudes that are diametrically opposed to my own. The more he talked, the angrier I got. Arriving at the airport, I was relieved to get away from this man's rants. I got out of the van, checked in, walked to my gate, and waited to board the plane. As I boarded the plane my ire rose to realize I would again be sitting behind the man in the van -- for a 5-hour flight! He was just as obnoxious as on the van, but as soon as we hit some moderately severe turbulence, I learned he was a pilot and was calming the passengers next to him who were afraid of flying. He gently explained that the turbulence we were flying through was nothing to worry about and why. I found that I, also a nervous flier, felt relieved to listen to his explanations. 

Based on the passage, the author's purpose is most likely to

A.	express how unpredictable people are.
B.	show how circumstances can change opinions.
C.	confirm that coincidences are funny when they happen.
D.	complain about how one talkative person can annoy many.
"
584," TO8 B3000284 B
B3090584 B
0584.	The following excerpt is from The Story of My Life by Helen Keller (1903).

I was born on June 27, 1880, in Tuscumbia, a little town of northern Alabama. The family on my father's side is descended from Caspar Keller, a native of Switzerland, who settled in Maryland. One of my Swiss ancestors was the first teacher of the deaf in Zurich and wrote a book on the subject of their education -- rather a singular coincidence; though it is true that there is no king who has not had a slave among his ancestors, and no slave who has not had a king among his. My grandfather, Caspar Keller's son, ""entered"" large tracts of land in Alabama and finally settled there.

The author most likely wrote the passage in order to

A.	credit the Swiss for educating deaf people.
B.	provide perspective on her family origins.
C.	point out that kings descend from slaves.
D.	cast aspersions on her grandfather.
"
585," TO8 B5000285 B
B5090585 B
0585.	The following excerpt is from the short story ""The Cloak"" by Nikolay V. Gogol (1842).

It would be difficult to find another man who lived so entirely for his duties. It is not enough to say that Akaky labored with zeal; no, he labored with love. In his copying, he found a varied and agreeable employment. Enjoyment was written on his face; some letters were even favorites with him; and when he encountered these, he smiled, winked, and worked with his lips, till it seemed as though each letter might be read in his face, as his pen traced it. If his pay had been in proportion to his zeal, he would, perhaps, to his great surprise, have been made even a councillor of state. But he worked, as his companions, the wits, put it, like a horse in a mill.

The author describes Akaky largely in terms of his

A.	tedious duties.
B.	passion for his work.
C.	professional standing.
D.	relationships with companions.
"
586," TO8 B4000286 B
B4090586 B
0586.	The following excerpt is from Jetta of the Lowlands by Ray Cummings (1930).

Have you ever stood on the seashore, with the breakers rolling at your feet, and imagined what the scene would be like if the ocean water were gone? I have had a vision of that many times. Standing on the Atlantic Coast, gazing out toward Spain, I can envisage myself, not down at the sea-level, but upon the brink of a height. Spain and the coast of Europe, off there upon another height. And the depths between? Unreal landscape! Mysterious realm which now we call the bottom of the sea! Worn and rounded crags; bloated mud-plains; noisome reaches of ooze which once were the cold and dark and silent ocean floor, caked and drying in the sun. And off to the south the little fairy mountain tops of the West Indies rearing their verdured crowns aloft. If the ocean water were gone! Can you picture it? A new world, greater in area than all the land down as far beneath it as Mount Everest towers above it.

Which of the following terms best characterizes the author's tone?

A.	angry
B.	excited
C.	mocking
D.	humorous
"
587," TO8 B4000287 D
B4090587 D
0587.	The following excerpt is from Dracula by Bram Stoker (1897).

I stood in silence where I was, for I did not know what to do. Of bell or knocker there was no sign; through these frowning walls and dark window openings it was not likely that my voice could penetrate. The time I waited seemed endless, and I felt doubts and fears crowding upon me. What sort of place had I come to, and among what kind of people? What sort of grim adventure was it on which I had embarked? I began to rub my eyes and pinch myself to see if I were awake. It all seemed like a horrible nightmare to me, and I expected that I should suddenly awake, and find myself at home, with the dawn struggling in through the windows, as I had now and again felt in the morning after a day of overwork. But my flesh answered the pinching test, and my eyes were not to be deceived.

Which of the following terms best characterizes the tone described in the passage?

A.	plain, but factual
B.	tragic and angry
C.	unfeeling, but serious
D.	uneasy and menacing
"
588," TO8 B5000288 D
B5090588 D
0588.	The following excerpt is from Dombey and Son by Charles Dickens (1848).

Dombey sat in the corner of the darkened room in the great arm-chair by the bedside, and Son lay tucked up warm in a little basket bedstead. Dombey was about eight-and-forty years of age. Son about eight-and-forty minutes. Dombey was rather bald, rather red, and though a handsome well-made man, too stern and pompous in appearance, to be prepossessing. Son was very bald, and very red, and though an undeniably fine infant, somewhat crushed and spotty in his general effect, as yet. On the brow of Dombey, Time and his brother Care had set some marks, as on a tree that was to come down in good time -- remorseless twins they are for striding through their human forests, notching as they go -- while the countenance of Son was crossed with a thousand little creases, which the same deceitful Time would take delight in smoothing out and wearing away with the flat part of his scythe.

In the passage, which of the following techniques does the author employ?

A.	paradox
B.	caricature
C.	euphemism
D.	personification
"
589," TO8 B5000289 C
B5090589 C
0589.	The following excerpt is from Moby Dick by Herman Melville (1851).

Some years ago -- never mind how long precisely -- having little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world. It is a way I have of driving off the spleen and regulating the circulation. Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off -- then, I account it high time to get to sea as soon as I can.

The author describes the narrator mostly in terms of his

A.	sailing skills.
B.	physical health.
C.	emotional state.
D.	work preferences.
"
590," TO8 B5000290 C
B5090590 C
0590.	The following excerpt is from Frankenstein by Mary Shelley (1818).

It was on a dreary night of November that I beheld the accomplishment of my toils. With an anxiety that almost amounted to agony, I collected the instruments of life around me, that I might infuse a spark of being into the lifeless thing that lay at my feet. It was already one in the morning; the rain pattered dismally against the panes, and my candle was nearly burnt out, when, by the glimmer of the half-extinguished light, I saw the dull yellow eye of the creature open; it breathed hard, and a convulsive motion agitated its limbs.

In the passage, which of the author's phrases illustrates the use of alliteration?

A.	on a dreary night of November
B.	glimmer of the half-extinguished light
C.	an anxiety that almost amounted to agony
D.	the rain pattered dismally against the panes
"
591," TO8 B2000291 B
B2090591 B
0591.	Grandfather clocks -- those tall, old, narrow cabinets with a pendulum swinging back and forth behind the glass in the door -- keep remarkably accurate time without electricity. What makes them work so well at keeping time? It has to do with the pendulum. The time it takes for a pendulum to swing and get back to its starting point depends on one thing: its length. Some people might think that the more a pendulum weighs, the slower it will move, but this is not true; its weight makes no difference. This means that when a clock has a pendulum of a certain length, the amount of time it takes for the pendulum to complete one swing can be calculated very precisely. This is why grandfather clocks can keep accurate time without electric power. Such clocks have a system of weights that transfer their potential energy to the pendulum, keeping it going.

In discussing grandfather clocks, the author's primary focus is on

A.	its accuracy without electricity.
B.	its mechanical function and precision.
C.	the purpose of the pendulum's weight.
D.	the transfer of energy through various mechanisms.
"
592," TO8 B5000292 A
B5090592 A
0592.	The following excerpt is from the story ""Rip Van Winkle"" by Washington Irving (1820).

Whoever has made a voyage up the Hudson must remember the Kaatskill mountains. They are a dismembered branch of the great Appalachian family, and are seen away to the west of the river, swelling up to a noble height, and lording it over the surrounding country. Every change of season, every change of weather, indeed, every hour of the day, produces some change in the magical hues and shapes of these mountains, and they are regarded by all the good wives, far and near, as perfect barometers. When the weather is fair and settled, they are clothed in blue and purple, and print their bold outlines on the clear evening sky; but, sometimes, when the rest of the landscape is cloudless, they will gather a hood of gray vapors about their summits, which, in the last rays of the setting sun, will glow and light up like a crown of glory.

In describing the mountains, the author mainly employs

A.	personification.
B.	hyperbole.
C.	allusion.
D.	irony.
"
593," TO8 B4000293 D
B4090593 D
0593.	Most people are familiar with honeybees, bumblebees, and even carpenter bees. In fact, more than 20,000 different species of bees live on our planet. One thing most bees have in common is that they collect nectar and pollen from flowers. It is from the nectar of flowers that bees produce honey, which they rely on for food all year round. For thousands of years, humans have also valued honey as a healthy and natural sweetener. Another benefit from bees is that as they collect nectar, they unintentionally perform a particularly important agricultural role: they pollinate crops. Without crop pollination from bees, food supplies for humans would decrease significantly. It is estimated that honeybees pollinate, directly or indirectly, about one-third of the crops in the United States.

Based on the passage, how does the author want the reader to feel about bees?

A.	curious
B.	tolerant
C.	cautious
D.	appreciative
"
594," TO8 B4000294 D
B4090594 D
0594.	Learning a language is never simple. Even if you memorize long lists of nouns and can conjugate all kinds of verbs, as soon as you encounter an idiomatic phrase, you could be completely lost. Idioms are words or phrases not intended to be understood literally and which don't translate well from one language to another. For example, think of someone who is learning English and is told to ""break a leg."" What do you think they would understand by that phrase? Until someone explains it is an expression of good luck, they might think the opposite and possibly be offended. Even if English is already your first language, and someone says, ""It's throwing cobblers' knives,"" you may have no idea this is an Irish expression for the same thing as ""raining cats and dogs."" In Norwegian, they'd say, ""It's raining female trolls."" All languages have idioms, and they are just one of the challenges -- and delights -- of learning languages.

Based on the passage, how does the author most likely want the reader to feel about idioms in the learning of languages?

A. 	worried
B.	cautious
C.	dismissive
D.	encouraged
"
595," TO8 B2000295 B
B2090595 B
0595.	During the Napoleonic Wars when the British blockaded shipments of cane sugar to Europe, the demand for sweeteners stimulated an intensive search for an alternative. Soon, a plant breeding program was underway to improve upon a type of beet that could be used for making sugar. In France and elsewhere, several crude factories sprang up in an attempt to begin producing sugar from the sugar beet. The attempt failed, however, and after the British blockade ended, European sugar production went into steady decline. The ability to extract sugar from the beet, however, had been proven successful, and the new type of sugar production caught on in the United States soon after. In 1879, the first successful commercial sugar beet processing plant in the U.S. began production in Alvarado, California. Over the next four decades, more than 90 sugar beet factories began operating in 18 states. Currently in the U.S., more than 4.5 million tons of sugar are produced annually from sugar beets, which accounts for more than half of domestic sugar production.

Which of the following best summarizes the passage?

A.	United States sugar production is mostly from sugar beets.
B.	Today's sugar beet success is partly due to the Napoleonic Wars.
C.	Sugar beets were the result of a successful plant-breeding program.
D.	The British blockade during the Napoleonic Wars harmed sugar factories.
"
596," TO8 B4000296 D
B4090596 D
0596.	The following excerpt is from the story ""The Ransom of Red Chief"" by O. Henry (1910).

Dear Two Desperate Men. Gentlemen: I received your letter today by post, in regard to the ransom you ask for the return of my son. I think you are a little high in your demands, and I hereby make you a counter-proposition, which I am inclined to believe you will accept. You bring Johnny home and pay me two hundred and fifty dollars in cash, and I agree to take him off your hands. You had better come at night, for the neighbors believe he is lost, and I couldn't be responsible for what they would do to anybody they saw bringing him back. Very respectfully, Ebenezer Dorset.

Which of the following terms best characterizes the tone of the passage?

A.	straightforward
B.	sympathetic
C.	optimistic
D.	mocking
"
597," TO8 B3000297 B
B3090597 B
0597.	The following is from ""The Study of Mathematics"" by Bertrand Russell (1910).

Mathematics, rightly viewed, possesses not only truth, but supreme beauty -- a beauty cold and austere, like that of sculpture, without appeal to any part of our weaker nature, without the gorgeous trappings of painting or music, yet sublimely pure, and capable of a stern perfection such as only the greatest art can show. The true spirit of delight, the exaltation, the sense of being more than human, which is the touchstone of the highest excellence, is to be found in mathematics as surely as in poetry. What is best in mathematics deserves not merely to be learnt as a task, but to be assimilated as a part of daily thought, and brought again and again before the mind with ever-renewed encouragement. Real life is a long second-best, a perpetual compromise between the ideal and the possible; but the world of pure reason knows no compromise.

The author most likely wrote the passage in order to

A.	disparage the pursuit of art as lovely, but useless.
B.	express the beauty of mathematics as an art form.
C.	compare mathematics and poetry as similar pursuits.
D.	use irony to compare mathematics to poetry and music.
"
598," TO8 B2000298 D
B2090598 D
0598.	Despite decades of research on the Florida panther, accurate population estimates have been difficult to come by due to the big cat's low numbers, elusiveness, and secretive nature. Nevertheless, U.S. Geological Survey scientists in collaboration with university researchers have developed a method to accurately estimate population size and density for this mysterious felid, the last remaining puma subspecies in eastern North America and one of the most endangered felids worldwide. Researchers used camera trap data to develop a revolutionary spatial capture-recapture model that not only generates statistically reliable density estimates, but does so even when individual animals are not identifiable, as was the case for the Florida panther. The capture-recapture model was used to assist Florida's wildlife managers to collect population data for that portion of the panther's range where the Army Corps of Engineers is rehabilitating a natural habitat that is immediately adjacent to the Florida Panther National Wildlife Refuge.

The major emphasis of the passage is on

A.	spatial capture-recapture model reliability.
B.	the endangerment of the Florida panther.
C.	rebuilding the Florida panther habitat.
D.	a new method to estimate population.
"
599," TO8 B5000299 A
B5090599 A
0599.	The following is from the story ""One Touch of Nature"" by P.G. Wodehouse (1917).

The feelings of Mr. J. Wilmot Birdsey, as he stood wedged in the crowd that moved inch by inch towards the gates of the Chelsea Football Ground, rather resembled those of a starving man who has just been given a meal but realizes that he is not likely to get another for many days. He was full and happy. He bubbled over with the joy of living and a warm affection for his fellow-man. At the back of his mind there lurked the black shadow of future privations, but for the moment he did not allow it to disturb him. On this maddest, merriest day of all the glad New Year he was content to revel in the present and allow the future to take care of itself. Mr. Birdsey had been doing something which he had not done since he left New York five years ago. He had been watching a game of baseball.

In the passage, by comparing starvation to being unable to watch baseball, the author is employing

A.	exaggeration.
B.	euphemism.
C.	ambiguity.
D.	allegory."
600," TO11 A1000000 B 
A1090600 B
0600.	The following excerpt is from The Life of the Bee by Maurice Maeterlinck (1914).

Many of those who have written on bees have thought fit to adorn the truth; I myself have no such desire. For studies of this description to possess any interest, it is essential that they should remain absolutely sincere. Had the conclusion been forced upon me that bees are incapable of communicating to each other news of an event occurring outside the hive, I should, I imagine, as a set-off against the slight disappointment this discovery would have entailed, have derived some degree of satisfaction in recognizing once more that man, after all, is the only truly intelligent being who inhabits our globe.

According to the passage, for a study of bees to be interesting, it should

A.	adorn the truth.
B.	remain absolutely sincere.
C.	communicate something new.
D.	provide some degree of satisfaction.
"
601," TO11 A1000001 A
A1090601 A
0601.	According to the U.S. Department of Energy, studies show that earth-sheltered houses are more cost-effective in climates that have significant temperature extremes and low humidity, such as those of the Rocky Mountains and northern Great Plains. Earth temperatures vary much less than air temperatures in these areas, which means the earth can absorb extra heat from the house in hot weather or insulate the house to maintain warmth in cold weather. A south-facing slope in a region with moderate to long winters is ideal for an earth-sheltered building. South-facing windows can let in sunlight for direct heating, while the rest of the house is set back into the slope. Careful planning by a designer familiar with earth sheltering can take full advantage of the conditions on your particular site.

According to the passage, building an earth-sheltered house in the northern Great Plains is more cost-effective because of extreme

A.	air temperatures.
B.	south-facing slopes.
C.	mountain elevations.
D.	fluctuations in humidity.
"
602," TO11 A2000002 D
A2090602 D
0602.	The Natural Resources Conservation Service (NRCS), a U.S. Department of Agriculture division, has been growing seeds for our national parks for more than 20 years. Finding and growing the seeds is not easy. Because each species of plant has evolved a genetic makeup specific to the cliffs, valleys and ridges of each of our national parks, the National Park Service (NPS) uses seeds native to that specific park area. Native plants are better able to resist damage from freezing temperatures, drought, common diseases, and grazing animals like elk and deer. The NPS collects a small amount of those specific seeds and provides them to NRCS for propagation. The Plant Materials Center starts the seed in a greenhouse before transplanting it in a nearby field to mature. Each planted seed will end up producing hundreds of seeds for many years. With each harvest, the seeds are processed, bagged and delivered in quantities of tens to hundreds of pounds ready to be planted by the NPS.

Based on the passage, the NPS uses native seeds because

A.	elk and deer don't graze on native plants.
B.	native seeds can be grown in a greenhouse.
C.	those are the only kind of plants the NRCS will grow.
D.	they are specifically adapted to conditions in each park.
"
603," TO11 A2000003 A
A2090603 A
0603.	The Great Pyramid of Giza is the only one of the seven ancient wonders of the world that is still standing. It was built in approximately 2540 BC for Pharaoh Khufu, the second ruler of ancient Egypt's fourth dynasty. The pyramid is an estimated 480 feet tall and contains the Pharaoh's burial chamber, a second, smaller burial chamber, passages, and a gallery. The outer casing stones were faced in precious white limestone, which has completely vanished from Khufu's pyramid because of erosion and human intervention. The Great Pyramid is the pinnacle of pyramid construction, the result of several centuries of experimentation. After the Great Pyramid, the construction of pyramids essentially stopped -- hardly surprising when you consider the intricacies and elaborateness of the design.

According to the passage, Khufu's pyramid was

A.	covered in limestone.
B.	a sacred ceremonial location.
C.	completed after several centuries.
D.	destroyed by erosion and human intervention.
"
604," TO11 A3000004 B
A3090604 B
0604.	Powder coating -- an industrial process that provides a finishing coat for automobiles, domestic appliances, tools, furniture, architectural metal, and other products -- not only lasts a long time, but also looks good. The powder used in powder coating consists mainly of polymer resin, curing agents, color, and leveling agents. These ingredients are mixed together at high heat, cooled, and then ground into a powder. The powder is electrically charged and sprayed onto a grounded metal part. After the part is thoroughly coated with powder, it is sent to a convection oven to be cured, or heat-dried. This final step in the process can take the longest, but it is worth the wait.

Which of the following best describes the steps in preparing the powder, from first to last?

A.	The ingredients are heated, cooled, ground, and mixed.
B.	The ingredients are mixed, heated, cooled, and ground.
C.	The ingredients are ground, mixed, heated, and cooled.
D.	The ingredients are ground, heated, cooled, and mixed.
"
605," TO11 B1000005 B
B1090605 B
0605.	The process of making a manuscript during the Middle Ages was time consuming and used many resources. To start, paper was not commonly available. Medieval manuscripts were written on vellum, a paper-like material made out of animal skin. The animal skin had to be prepared, cured, and cut before it could be used. Larger books could require the hides of several cows, sheep, or goats. A scribe would spend months or even years writing the words in the manuscript, using ink made from charcoal or oak galls. After the scribe was finished, the illuminator would add pictures to the text, often using gold leaf and brightly colored paint. This often took even more time than writing the text. The finished manuscript was bound in wooden boards, which served as the manuscript's front and back covers, and were also highly decorated.

Which of the following conclusions about medieval manuscripts is suggested by the passage?

A.	They led to the production of paper.
B.	They were ornate, one-of-a-kind, and valued.
C.	They were cured, assembled, and manufactured by scribes.
D.	They weren't durable, because they were made with animal skin.
"
606," TO11 B2000006 A
B2090606 A
0606.	The following excerpt is from Pride and Prejudice by Jane Austen (1813).

Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her husband any satisfactory description of Mr. Bingley. They attacked him in various ways -- with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all, and they were at last obliged to accept the second-hand intelligence of their neighbor, Lady Lucas. Her report was highly favorable. Sir William had been delighted with him. He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party. Nothing could be more delightful! To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley's heart were entertained.

The major emphasis of the passage is on

A.	the discovery of Bingley's characteristics.
B.	Mrs. Bennet's frustration with her husband.
C.	Lady Lucas' abilities to get difficult information.
D.	the various relationships among the characters.
"
607," TO11 B3000007 D
B3090607 D
0607.	Is the Lost Dutchman Mine real or is it one of the many myths to be found in the Arizona desert? As far back as 1540, when the Spanish conquistadors came looking for treasure, the Superstition Mountains of Arizona have been rumored to contain vast amounts of gold. The ""Dutchman"" of the mine was actually a German man named Jacob Walz who allegedly rediscovered the mine sometime after 1870. He produced high quality gold nuggets for 20 years, but no one was ever able to find out where he got them. According to legend, he left clues, including ""There is a trick in the trail to my mine,"" and ""The rays of the setting sun shine into the entrance of my mine."" A recent United States Geological Survey (USGS) survey indicates that there are deep-seated mineral deposits in the area. Nevertheless, the U.S. Department of Agriculture closed the area to mining in 1983.

Based on the passage, the view of the author is most likely that

A.	Jacob Walz found gold, but didn't have a mine.
B.	the Spanish started the rumor of gold in Arizona.
C.	the entrance to the Lost Dutchman Mine faces west.
D.	there is evidence that the Lost Dutchman Mine is real.
"
608," TO11 B4000008 C
B4090608 C
0608.	The following excerpt is from Secret Service by Cyrus Townsend Brady (1912).

Once upon a time a novel of mine was turned into a play. The dramatist who prepared the story for stage production sent me a copy of his efforts. About the only point of resemblance between his production and mine was the fact that they both bore the same title, the hero in each had the same name, and the action in both cases took place on this earth. I was a young author then, and timid. I ventured humbly to enquire why the drama differed so entirely from the novel; and this ingenious, I might almost say ingenuous, explanation was vouchsafed me: ""Well, to tell you the truth, after I had read a chapter or two of your book, I lost it, and I just wrote the play from my own imagination."" I do not wish to criticize the results … but to describe that particular effort as a dramatisation of my book was absurd. Incidentally, it was absurd in other ways and, fortunately for the reputation of both of us, it never saw the light.

Based on the passage, the author's attitude towards the adaptation of his novel is

A.	angry.
B.	humble.
C.	amused.
D.	complimentary.
"
609," TO11 B5000009 A
B5090609 A
0609.	The giant weta of New Zealand, an endangered cricket-like creature, is one of the heaviest and largest insects on Earth. Weighing up to 71 grams (about 2 and a half ounces), this insect is about three times heavier than a mouse and is up to four inches in length, not including its legs or antennae (which can be up to twice as long as its body)! Giant wetas are not just big overall, they also have big eyes and large legs covered with large spines that are used for defense. Relative to the size of their head, their jaws are massive -- the scariest insect in the world if you came face-to-face with one. It's known by New Zealand natives, the Maori, as ""the god of ugly things."" You might expect an insect this big to be a meat eater, but it gets the majority of its bulk from large doses of leafy greens. Another interesting thing about this insect is that it was around with the dinosaurs and has evolved very little since then.

Which of the author's phrases is most likely an exaggeration?

A.	the scariest insect in the world
B.	it has evolved very little since then
C.	one of the heaviest insects on Earth
D.	about three times heavier than a mouse
"
610," TO11 A2000010 A
A2090610 A
0610.	If you ever find yourself in the American Southwest, don't miss one of the best preserved meteor crater impact sites on Earth, referred to simply as Meteor Crater. Now 550 feet deep and over 4,000 feet wide, the crater is as deep as the Washington Monument is tall. This gouge was created in several dramatic seconds approximately 50,000 years ago when a mostly iron meteorite -- likely no larger than 150 feet in diameter -- crashed into Earth at about 26,000 miles per hour. Despite millennia of rainfall and strong winds, the crater's rim still rises over 150 feet above the surrounding land. Research done here has provided valuable sampling techniques for scientists, which has been crucial in developing criteria for identifying meteor craters internationally. Moreover, the site hosted NASA scientists and astronauts in training exercises that prepared them, by way of simulations, for missions to the moon's surface.

According to the passage, the scientific significance of Meteor Crater is that

A.	it provided a valuable site for research.
B. 	its geology is similar to that of the moon.
C.	it is as deep as the Washington Monument is tall.
D.	its rim still rises high above the surrounding plain.
"
611," TO11 B2000011 B
B2090611 B
0611.	The following excerpt is from Middlemarch by George Eliot (1874).

Do you think I could do some good at this job?"" asked Fred. ""That depends,"" said Caleb. ""You must be sure of two things, Fred: you must love your work, and not be always looking over the edge of it, wanting your play to begin. And the other is, you must not be ashamed of your work, and think it would be more honorable to you to be doing something else. You must have a pride in your own work and in learning to do it well, and not be always saying, if I had this or that to do, I might make something of it. No matter what a man is -- I wouldn't give twopence for him, whether he was the prime minister or the rick-thatcher, if he didn't do well what he undertook to do.

Based on the passage, Caleb's main point is that Fred should choose the job he

A.	enjoys and can succeed in.
B.	enjoys and wants to do well.
C.	finds honorable and interesting.
D. 	finds honorable and consuming.
"
612," TO11 B3000012 D
B3090612 D
0612.	Lick Observatory, located on the summit of Mount Hamilton in California, is the oldest mountaintop observatory in the world. Stargazing since 1888, the observatory is a monument to James Lick, an eccentric millionaire who wished to immortalize his name with an observatory that would house a telescope more powerful than any ever built. The telescope was not Lick's first choice: He first considered building a giant statue of himself and his parents by the ocean for all ships to see, and then the largest-ever pyramid to cover an entire city block. Happily, science won: Lick's telescope remains active today; Amalthea, Jupiter's fifth moon, was discovered through its lenses, and photographs taken with this telescope are still used in science textbooks.

Based on the passage, the view of the author is most likely that James Lick's decision to build the observatory was a

A.	silly and impractical whim.
B.	worthy monument to a great man.
C.	sign of his increasing interest in astronomy.
D.	more valuable project than the others he considered.
"
613," TO11 B1000013 C
B1090613 C
0613.	I will always remember our stroll to Weeping Rock. We wandered through the canyon, with its hanging gardens of flowers and ferns, signs of hidden water. A layer of the canyon's cliffs is porous sandstone, supported by a more impervious rock -- this forces rainwater accumulating in the sandstone out as springs, too numerous to count. Springs of Weeping Rock never dry up. It is a remote, quiet, and meditative place. We were alone there, soaking in the sounds of falling water. Each drop has made a long journey to that moment: hydrologists have tested the water seeping out of Weeping Rock and discovered that it had traveled through sandstone for over a millennium. It was nearly impossible to absorb: a droplet that fell on me while I was there, first rained on these cliffs as the Mayan Civilization began its decline, and Charlemagne ruled on the other side of the world.

Which of the following conclusions is suggested by the passage?

A.	The trail to Weeping Rock is hard to find.
B.	The water of Weeping Rock has healing properties.
C.	Weeping Rock is interesting to both tourists and scientists.
D. 	Weeping Rock is memorable because there is no other place like it.
"
614," TO11 B4000014 C
B4090614 C
0614.	The following excerpt is from ""A Scandal in Bohemia,"" a short story by Sir Arthur Conan Doyle (1891).

To Sherlock Holmes she is always THE woman. I have seldom heard him mention her under any other name. It was not that he felt any emotion akin to love for Irene Adler. All emotions, and that one particularly, were abhorrent to his cold, precise mind. He never spoke of the softer passions, save with a gibe and a sneer. They were admirable things for the observer -- excellent for drawing the veil from men's motives and actions. But for the trained reasoner to admit such intrusions into his own finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results. And yet there was but one woman to him, and that woman was the late Irene Adler, of dubious and questionable memory.

How does the author want you to feel about Irene Adler?

A.	amused
B.	worried
C.	intrigued
D.	unconcerned
"
615," TO11 B1000015 A
B1090615 A
0615.	The following excerpt is from Three Men in a Boat (to Say Nothing of the Dog) by Jerome K. Jerome (1889).

It always does seem to me that I am doing more work than I should do. It is not that I object to the work, mind you; I like work: it fascinates me. I can sit and look at it for hours. You cannot give me too much work; to accumulate work has almost become a passion with me: my study is so full of it now, that there is hardly an inch of room for any more. And I am careful of my work, too. Why, some of the work that I have by me now has been in my possession for years, and there isn't a finger-mark on it. I take a great pride in my work; I take it down now and then and dust it.

The author of the passage is most likely trying to

A.	imply that he does not work.
B.	suggest that he has too much work.
C.	convince the reader that he likes to work.
D.	inform the reader about his excellent work ethic.
"
